time,variety,part,stage,relicate,protein_content,,,
4.30 ,郑单958,L3a,V5,2,0.3021 ,,,
4.30 ,郑单958,L3b,V5,2,0.6505 ,,,
4.30 ,郑单958,Sd,V5,2,0.2137 ,,,
4.30 ,郑单958,L4a,V5,2,0.3444 ,,,
4.30 ,郑单958,L4b,V5,2,1.7858 ,,,
4.30 ,郑单958,L4c,V5,2,2.5618 ,,,
4.30 ,郑单958,L4e,V5,2,3.6929 ,,,
4.30 ,郑单958,Se,V5,2,0.4074 ,,,
4.30 ,郑单958,L5a,V5,2,0.2898 ,,,
4.30 ,郑单958,L5b,V5,2,1.5248 ,,,
4.30 ,郑单958,L5c,V5,2,2.1682 ,,,
4.30 ,郑单958,L5d,V5,2,2.5830 ,,,
4.30 ,郑单958,L5e,V5,2,3.9880 ,,,
4.30 ,郑单958,L6a,V5,2,1.2283 ,,,
4.30 ,郑单958,L6b,V5,2,1.8408 ,,,
4.30 ,郑单958,L6c,V5,2,2.1938 ,,,
4.30 ,郑单958,L6d,V5,2,2.5180 ,,,
4.30 ,郑单958,L6e,V5,2,2.1981 ,,,
4.30 ,郑单958,L6f,V5,2,3.4607 ,,,
4.30 ,郑单958,L7,V5,2,0.9995 ,,,
4.30 ,郑单958,R,V5,2,0.1645 ,,,
4.30 ,郑单958,Sa,V5,3,0.2161 ,,,
4.30 ,郑单958,L1,V5,3,0.2793 ,,,
4.30 ,郑单958,Sb,V5,3,0.2861 ,,,
4.30 ,郑单958,L2a,V5,3,0.4739 ,,,
4.30 ,郑单958,L2b,V5,3,1.2375 ,,,
4.30 ,郑单958,Sc,V5,3,0.2676 ,,,
4.30 ,郑单958,L3a,V5,3,0.3190 ,,,
4.30 ,郑单958,L3b,V5,3,0.5942 ,,,
4.30 ,郑单958,L3c,V5,3,0.8771 ,,,
4.30 ,郑单958,Sd,V5,3,0.2001 ,,,
4.30 ,郑单958,L4a,V5,3,0.3793 ,,,
4.30 ,郑单958,L4b,V5,3,1.7003 ,,,
4.30 ,郑单958,L4c,V5,3,2.4609 ,,,
4.30 ,郑单958,L4e,V5,3,3.4221 ,,,
4.30 ,郑单958,Se,V5,3,0.3614 ,,,
4.30 ,郑单958,L5a,V5,3,0.2938 ,,,
4.30 ,郑单958,L5b,V5,3,1.0308 ,,,
4.30 ,郑单958,L5c,V5,3,2.2470 ,,,
4.30 ,郑单958,L5d,V5,3,1.6081 ,,,
4.30 ,郑单958,L5e,V5,3,4.1894 ,,,
4.30 ,郑单958,L6a,V5,3,0.9639 ,,,
4.30 ,郑单958,L6b,V5,3,1.5910 ,,,
4.30 ,郑单958,L6c,V5,3,2.0187 ,,,
4.30 ,郑单958,L6d,V5,3,2.8383 ,,,
4.30 ,郑单958,L6e,V5,3,3.4095 ,,,
4.30 ,郑单958,R,V5,3,0.1818 ,,,
